Transaction_id,Customer_ID,Product_id,Store_Location,Purchase_Date,Unit_Price,Quantity,Total_Price,Payment_Method,Order_Status
T100023,C1125,P953,STORE_22,20-03-2024,34.34,7,240.38,Credit Card,Cancelled
T100050,C1037,P593,STORE_26,20-04-2024,259.96,3,779.88,Paypal,Completed
T100077,C1483,P965,STORE_32,17-10-2023,326.79,4,1307.16,Credit Card,Completed
T100080,C1507,P1942,STORE_44,09-08-2024,434.78,4,1739.12,Cash,Completed
T100117,C1433,P708,STORE_2,21-05-2024,879.28,2,1758.56,Cash,Completed
T100147,C563,P283,STORE_32,26-05-2024,308.4,4,1233.6,Credit Card,Completed
T100170,C679,P832,STORE_4,30-01-2024,927.1,9,8343.9,Paypal,Completed
T10030,C1583,P805,STORE_38,24-06-2024,207.78,9,1870.02,Debit Card,Completed
T100312,C1752,P578,STORE_25,03-10-2023,326.79,7,2287.53,Debit Card,Cancelled
T100340,C821,P944,STORE_6,01-01-2024,429.94,9,3869.46,Cash,Completed
T10035,C1159,P57,STORE_36,25-06-2024,98.82,10,988.2,Paypal,Completed
T100355,C372,P805,STORE_29,07-11-2023,207.78,9,1870.02,Credit Card,Cancelled
T100387,C1879,P114,STORE_42,25-09-2023,70.81,4,283.24,Cash,Completed
T100435,C1001,P1922,STORE_29,07-07-2024,748.94,10,7489.4,Credit Card,Completed
T10045,C1395,P926,STORE_22,18-03-2024,311.52,7,2180.64,Paypal,Cancelled
T100494,C1583,P861,STORE_22,02-01-2024,763.22,6,4579.32,Credit Card,Cancelled
T100511,C850,P431,STORE_20,18-05-2024,234.76,6,1408.56,Cash,Completed
T100518,C1703,P327,STORE_22,02-09-2024,207.78,4,831.12,Paypal,Completed
T100561,C1219,P244,STORE_42,07-07-2024,429.94,5,2149.7,Paypal,Completed
T100568,C572,P715,STORE_49,23-07-2024,207.78,6,1246.68,Paypal,Completed
T100585,C868,P46,STORE_35,14-03-2024,34.34,4,137.36,Cash,Cancelled
T100615,C103,P886,STORE_25,20-04-2024,725.45,4,2901.8,Cash,Completed
T100622,C210,P127,STORE_49,21-07-2024,763.22,1,763.22,Paypal,Cancelled
T100659,C126,P179,STORE_20,02-12-2023,697.35,4,2789.4,Debit Card,Cancelled
T10066,C1847,P620,STORE_37,20-03-2024,39.49,1,39.49,Cash,Completed
T100779,C330,P953,STORE_50,27-04-2024,34.34,8,274.72,Paypal,Cancelled
T100802,C1406,P552,STORE_5,10-07-2024,452.15,2,904.3,Cash,Completed
T100869,C1974,P215,STORE_44,29-01-2024,879.28,6,5275.68,Debit Card,Completed
T100939,C1793,P1988,STORE_22,28-08-2024,429.33,4,1717.32,Cash,Completed
T100953,C392,P57,STORE_32,28-11-2023,98.82,6,592.92,Paypal,Completed
T100983,C187,P714,STORE_48,30-11-2023,759.65,8,6077.2,Debit Card,Completed
T101027,C1593,P832,STORE_32,27-02-2024,927.1,5,4635.5,Debit Card,Completed
T101058,C669,P578,STORE_50,21-01-2024,326.79,7,2287.53,Debit Card,Completed
T101059,C156,P472,STORE_22,03-09-2024,113.77,5,568.85,Debit Card,Completed
T101183,C1768,P769,STORE_24,30-11-2023,429.94,4,1719.76,Debit Card,Completed
T101204,C1649,P431,STORE_34,12-01-2024,234.76,4,939.04,Debit Card,Completed
T10121,C26,P180,STORE_22,24-09-2023,452.15,9,4069.35,Cash,Completed
T101224,C480,P545,STORE_22,25-03-2024,452.15,3,1356.45,Credit Card,Completed
T101261,C1037,P248,STORE_9,12-10-2023,429.94,5,2149.7,Paypal,Cancelled
T101263,C1151,P248,STORE_32,28-01-2024,429.94,1,429.94,Credit Card,Cancelled
T101303,C1849,P978,STORE_39,08-07-2024,879.28,5,4396.4,Cash,Completed
T101306,C1881,P126,STORE_22,29-07-2024,759.65,6,4557.9,Cash,Completed
T101345,C526,P1922,STORE_48,17-08-2024,748.94,7,5242.58,Credit Card,Completed
T101399,C815,P970,STORE_24,23-09-2024,113.76,7,796.32,Paypal,Completed
T101404,C1684,P851,STORE_41,31-08-2024,644.04,7,4508.28,Debit Card,Completed
T101446,C559,P465,STORE_29,16-10-2023,577.38,8,4619.04,Debit Card,Completed
T101460,C470,P778,STORE_30,26-06-2024,332.64,7,2328.48,Cash,Cancelled
T101581,C1486,P639,STORE_47,16-07-2024,429.94,7,3009.58,Paypal,Completed
T101623,C1983,P211,STORE_18,05-03-2024,948.86,10,9488.6,Credit Card,Completed
T101683,C922,P978,STORE_8,11-12-2023,879.28,10,8792.8,Cash,Completed
T101687,C618,P255,STORE_49,28-10-2023,452.15,10,4521.5,Credit Card,Cancelled
T101697,C1568,P327,STORE_17,25-06-2024,207.78,7,1454.46,Paypal,Completed
T101719,C36,P805,STORE_23,03-08-2024,207.78,6,1246.68,Credit Card,Cancelled
T101743,C1410,P129,STORE_15,20-12-2023,927.1,9,8343.9,Cash,Completed
T10175,C1925,P916,STORE_16,08-05-2024,531.3,3,1593.9,Paypal,Completed
T101783,C1481,P441,STORE_4,27-04-2024,507.17,4,2028.68,Paypal,Completed
T101790,C1224,P179,STORE_27,22-10-2023,697.35,9,6276.15,Paypal,Cancelled
T101792,C1641,P250,STORE_14,28-03-2024,531.3,6,3187.8,Debit Card,Cancelled
T101806,C1989,P349,STORE_44,12-06-2024,927.1,8,7416.8,Paypal,Completed
T101823,C713,P778,STORE_1,08-07-2024,332.64,5,1663.2,Credit Card,Cancelled
T101863,C540,P441,STORE_32,22-02-2024,507.17,7,3550.19,Paypal,Completed
T10187,C1644,P707,STORE_4,27-06-2024,927.1,1,927.1,Debit Card,Completed
