customer_id,age,gender,city,state
C1000,26,Male,Calderonville,Kentucky
C1001,30,Male,Brandonbury,Nebraska
C1002,20,Female,Christyton,Massachusetts
C1003,66,Male,Colehaven,California
C1004,35,Female,Tamarastad,Louisiana
C1005,32,Other,Parkerbury,Connecticut
C1006,60,Male,North Robert,Georgia
C1007,66,Male,New Wyatt,Michigan
C1008,22,Male,Port Diane,Vermont
C1009,46,Other,Lake Amyton,Mississippi
C1010,49,Other,North Michael,Hawaii
C1011,38,Female,Lake John,New York
C1012,33,Female,Josephfort,West Virginia
C1013,43,Male,North Kimberly,Wyoming
C1014,56,Other,Martinland,Wisconsin
C1015,70,Female,North Annette,New York
C1016,64,Female,West Debbietown,Maryland
C1017,43,Other,Aaronmouth,Ohio
C1018,65,Other,Loganmouth,Wyoming
C1019,56,Other,Amyfort,Alabama
C1020,51,Other,East Shannonville,Washington
C1021,63,Male,Rodriguezshire,Wisconsin
C1022,51,Male,Dorothytown,North Dakota
C1023,46,Female,Jonesbury,South Carolina
C1024,70,Male,East Mike,Nevada
C1025,33,Other,Lake Allison,Maine
C1026,52,Female,North Ronald,Louisiana
C1027,65,Male,Buckleyshire,Michigan
C1028,53,Female,Leonardberg,West Virginia
C1029,51,Other,South Eric,Kentucky
C1030,21,Male,New Christophershire,Oregon
C1031,36,Female,East Suzanne,South Dakota
C1032,43,Female,Port Cynthia,Alabama
C1033,67,Female,Bradleyville,Indiana
C1034,47,Male,Lake Davidside,Ohio
C1035,45,Female,Gonzaleston,Arizona
C1036,57,Male,Lopezstad,North Dakota
C1037,62,Other,Aprilshire,Maine
C1038,27,Female,Austinton,Rhode Island
C1039,59,Female,Taylortown,Alaska
C1040,23,Other,South Robert,Kansas
C1041,50,Male,East Thomas,Idaho
C1042,29,Other,Lake Nicholas,Wyoming
C1043,62,Other,Lawsonberg,Arkansas
C1044,26,Female,Annchester,South Dakota
C1045,44,Female,East Donaldville,South Dakota
C1046,46,Male,Martinberg,Colorado
C1047,29,Female,Amyville,Arkansas
C1048,55,Other,Dunnport,Idaho
C1049,30,Female,North Brian,New Jersey
C1050,23,Female,Harrelltown,Tennessee
C1051,38,Other,New Tammy,Maine
C1052,59,Other,Davidmouth,Ohio
C1053,68,Male,Lisashire,Utah
C1054,63,Other,East Rebeccafurt,Georgia
C1055,25,Male,Lake Joshuachester,Virginia
C1056,25,Other,West Rachel,Alaska
C1057,46,Other,Melissaview,Connecticut
C1058,41,Male,East Meghanfurt,South Dakota
C1059,51,Other,North Edwinville,North Dakota
C1060,42,Other,Greenland,Michigan
C1061,68,Other,Jamesport,South Carolina
C1062,57,Male,West Crystalmouth,Michigan
C1063,42,Other,South April,Missouri
C1064,42,Male,Fishermouth,Florida
C1065,67,Male,Lake Katelyn,Pennsylvania
C1066,39,Other,New Thomashaven,Idaho
C1067,60,Male,Smithview,Maryland
