loyalty_id,customer_id,loyalty_signup_date,loyalty_tier,total_points
L5000,C1540,2024/07/15,Silver,1360
L5001,C3769,2024/11/23,Silver,1636
L5002,C3020,2024/11/30,Platinum,5507
L5003,C3413,2023/11/09,Platinum,169
L5004,C3728,2024/08/02,Platinum,1631
L5005,C1547,2024/04/13,Gold,179
L5006,C1601,2024/02/18,Gold,3573
L5007,C1646,2024/11/18,Gold,9047
L5008,C2185,2024/07/09,Silver,5738
L5009,C3397,2024/04/25,Platinum,1953
L5010,C2045,2024/08/09,Gold,452
L5011,C3430,2023/09/19,Silver,6510
L5012,C2533,2023/10/20,Silver,6188
L5013,C2133,2024/11/04,Platinum,2434
L5014,C1819,2023/09/05,Platinum,8078
L5015,C3480,2024/07/20,Gold,1550
L5016,C3830,2024/11/04,Silver,6099
L5017,C3015,2024/04/17,Platinum,2959
L5018,C2671,2023/11/09,Platinum,1400
L5019,C3837,2023/10/28,Platinum,3181
L5020,C1658,2025/03/17,Platinum,4690
L5021,C1335,2023/08/04,Silver,1495
L5022,C3927,2025/03/21,Platinum,6736
L5023,C3166,2024/09/07,Gold,6274
L5024,C3620,2024/12/04,Platinum,8604
L5025,C3975,2023/12/06,Platinum,427
L5026,C3315,2024/10/03,Gold,9820
L5027,C2424,2024/06/06,Platinum,1251
L5028,C2769,2025/01/18,Platinum,837
L5029,C2225,2023/08/15,Silver,5635
L5030,C1160,2025/04/24,Platinum,2750
L5031,C3902,2024/11/28,Silver,8024
L5032,C2849,2024/02/28,Silver,8756
L5033,C2604,2024/12/04,Gold,4089
L5034,C2170,2023/08/28,Gold,3769
L5035,C1128,2025/03/12,Silver,4498
L5036,C3019,2024/02/09,Silver,3602
L5037,C1503,2024/10/24,Platinum,9347
L5038,C2156,2024/08/29,Platinum,1743
L5039,C2558,2023/11/19,Gold,4459
L5040,C2064,2025/02/15,Silver,3727
L5041,C2338,2023/09/12,Platinum,4889
L5042,C1762,2025/05/06,Gold,7058
L5043,C2802,2024/12/30,Platinum,950
L5044,C3253,2024/08/05,Gold,5133
L5045,C1048,2024/04/11,Gold,3877
L5046,C2999,2023/09/10,Silver,7913
L5047,C1283,2025/05/04,Platinum,2069
L5048,C2342,2023/10/08,Gold,9432
L5049,C3964,2023/09/27,Platinum,1378
L5050,C1403,2024/05/23,Silver,4124
L5051,C2923,2025/02/19,Platinum,4744
L5052,C3204,2024/03/18,Gold,3885
L5053,C1436,2024/02/07,Platinum,2096
L5054,C2235,2025/01/22,Platinum,6805
L5055,C3863,2024/02/02,Gold,991
L5056,C1417,2024/11/10,Gold,8243
L5057,C3297,2024/10/02,Silver,3792
L5058,C2464,2025/06/03,Platinum,4324
L5059,C1890,2023/07/22,Silver,1302
L5060,C3187,2025/03/16,Silver,2171
L5061,C2722,2023/12/14,Gold,1838
L5062,C2422,2024/10/11,Silver,7466
L5063,C3509,2024/04/09,Gold,6693
L5064,C3005,2023/12/24,Gold,7597
L5065,C2751,2025/01/22,Platinum,1140
L5066,C3820,2023/10/19,Silver,759
L5067,C1428,2023/11/12,Silver,5397
L5068,C3082,2024/04/22,Silver,4746
L5069,C1658,2024/08/09,Silver,9368
L5070,C3081,2025/01/06,Silver,6262
L5071,C3786,2024/01/17,Platinum,6689
L5072,C1396,2024/01/04,Platinum,5278
L5073,C3564,2025/01/28,Silver,5446
L5074,C2046,2024/07/07,Gold,8605
L5075,C2804,2024/04/28,Silver,8319
L5076,C1408,2023/09/26,Silver,7064
L5077,C1523,2024/05/26,Silver,7210
L5078,C2736,2025/07/09,Gold,9446
L5079,C1698,2023/09/29,Gold,9419
L5080,C1184,2023/12/15,Platinum,5530
L5081,C2052,2024/12/24,Silver,3460
L5082,C1768,2024/10/27,Silver,7199
L5083,C3402,2024/03/05,Platinum,4630
L5084,C2758,2023/09/08,Silver,3979
L5085,C3167,2024/10/02,Silver,6685
L5086,C3591,2024/02/01,Silver,6706
L5087,C3367,2023/08/13,Silver,5615
L5088,C1005,2024/09/27,Gold,3594
L5089,C1273,2024/08/02,Gold,4452
L5090,C1384,2024/07/18,Silver,407
L5091,C2194,2024/01/09,Gold,4886
L5092,C2651,2024/10/10,Silver,9746
L5093,C2350,2024/02/05,Silver,4196
L5094,C2652,2023/11/21,Platinum,6332
L5095,C1782,2024/01/12,Platinum,2361
L5096,C1347,2024/03/19,Gold,321
L5097,C1854,2023/11/10,Platinum,48
L5098,C3120,2024/08/14,Silver,7307
L5099,C1888,2025/07/08,Gold,5267
L5100,C1406,2024/06/09,Silver,3442
L5101,C1800,2025/06/03,Silver,7531
L5102,C2088,2024/07/30,Gold,9918
L5103,C2925,2025/07/01,Platinum,6086
L5104,C1161,2024/09/09,Silver,4998
L5105,C3145,2024/05/22,Silver,1489
L5106,C3050,2025/01/09,Platinum,660
L5107,C3851,2024/03/09,Platinum,7218
L5108,C3507,2024/04/13,Silver,1097
L5109,C2105,2025/06/06,Silver,8081
L5110,C2016,2025/04/30,Platinum,5948
L5111,C2851,2023/09/11,Gold,211
L5112,C1044,2023/07/28,Platinum,1652
L5113,C1544,2025/04/12,Silver,7024
L5114,C1925,2024/08/05,Silver,793
L5115,C1106,2024/01/31,Silver,9870
L5116,C3968,2024/12/14,Silver,9670
L5117,C3935,2024/06/05,Platinum,8652
L5118,C1174,2023/08/21,Platinum,2340
L5119,C3256,2025/01/22,Platinum,2126
L5120,C1151,2024/12/07,Silver,5864
L5121,C2344,2024/03/22,Silver,8903
L5122,C2445,2024/02/06,Gold,1495
L5123,C3051,2025/05/14,Gold,6025
L5124,C3507,2024/12/27,Platinum,4350
L5125,C2548,2023/09/06,Silver,6820
L5126,C1296,2025/01/07,Silver,2729
L5127,C1608,2023/09/03,Silver,7124
L5128,C3160,2024/05/05,Silver,8705
L5129,C1057,2023/08/30,Platinum,9215
L5130,C1335,2024/02/09,Gold,2912
L5131,C1390,2023/09/24,Gold,3934
L5132,C3949,2024/08/10,Silver,62
L5133,C1653,2024/06/14,Gold,1143
L5134,C1964,2024/08/27,Gold,7164
L5135,C1525,2024/04/23,Platinum,5484
L5136,C2000,2023/11/19,Platinum,4523
L5137,C2176,2024/01/13,Silver,7099
L5138,C2769,2023/08/11,Gold,2412
L5139,C1232,2024/10/18,Gold,1737
L5140,C1021,2025/06/30,Silver,6569
L5141,C3124,2024/09/27,Silver,3649
L5142,C2015,2023/09/17,Silver,7471
L5143,C2564,2023/11/11,Platinum,5797
L5144,C1180,2024/07/28,Silver,9182
L5145,C2906,2024/01/22,Silver,3921
L5146,C1841,2024/11/26,Platinum,9276
L5147,C2527,2024/10/22,Silver,7787
L5148,C3193,2024/02/10,Platinum,9174
L5149,C1076,2025/07/09,Platinum,1060
L5150,C2068,2024/01/02,Silver,1261
L5151,C1715,2024/02/10,Platinum,2477
L5152,C1557,2023/10/08,Platinum,8218
L5153,C1452,2024/05/14,Platinum,9079
L5154,C1530,2023/08/24,Gold,4663
L5155,C3892,2024/01/22,Silver,5743
L5156,C3144,2023/11/26,Silver,7035
L5157,C1613,2024/01/22,Gold,4533
L5158,C3699,2025/05/22,Platinum,6431
L5159,C1781,2024/06/18,Platinum,8352
L5160,C3904,2023/10/20,Platinum,7186
L5161,C2926,2025/06/27,Platinum,1589
L5162,C2291,2024/06/17,Gold,5394
L5163,C1505,2023/10/21,Silver,744
L5164,C1486,2024/05/24,Platinum,57
L5165,C3979,2024/11/20,Silver,5122
L5166,C2759,2025/01/30,Gold,2446
L5167,C1356,2024/05/14,Gold,3006
L5168,C2141,2024/04/10,Silver,9430
L5169,C1926,2024/09/10,Platinum,8765
L5170,C1963,2023/07/24,Gold,2182
L5171,C3039,2025/06/22,Gold,6630
L5172,C1332,2025/07/01,Gold,1340
L5173,C3698,2024/05/08,Silver,9387
L5174,C2882,2023/07/18,Platinum,6181
L5175,C3003,2023/07/26,Silver,7600
L5176,C2824,2024/10/17,Silver,4396
L5177,C1325,2024/01/15,Silver,5275
L5178,C2646,2025/02/20,Silver,4330
L5179,C3089,2024/07/20,Gold,8529
L5180,C1290,2023/09/12,Platinum,9924
L5181,C1831,2024/07/16,Gold,7775
L5182,C1674,2025/01/19,Gold,6759
L5183,C3704,2024/07/01,Silver,8039
L5184,C1039,2024/03/10,Silver,8316
L5185,C1619,2024/01/28,Gold,1936
L5186,C1648,2024/10/01,Silver,8715
L5187,C1256,2024/04/20,Platinum,9700
L5188,C2604,2023/09/04,Silver,6973
L5189,C3979,2025/06/03,Silver,3726
L5190,C2751,2024/07/20,Gold,3487
L5191,C3774,2023/09/24,Platinum,4517
L5192,C2986,2024/04/30,Gold,7308
L5193,C1961,2025/05/17,Silver,6307
L5194,C1663,2025/01/20,Silver,4644
L5195,C1729,2023/09/01,Platinum,5738
L5196,C3688,2024/08/28,Silver,8812
