transaction_id,customer_id,transaction_date,product_id,product_category,quantity,price_per_unit,total_amount,city,state
10000,C2522,2024-12-19,P302,Home & Kitchen,5,269.14,1345.7,Lake Michael,Vermont
10001,C2573,2025-05-14,P202,Clothing,3,112.92,338.76,Port Lisaberg,South Dakota
10002,C3465,2024-11-04,P100,Electronics,2,318.48,636.96,New Anthonyland,Illinois
10003,C3680,2024-09-20,P100,Electronics,5,484.48,2422.4,Greenview,Delaware
10004,C1306,2024-09-07,P200,Clothing,4,463.5,1854.0,Lake Gary,Tennessee
10005,C2942,2025-02-23,P502,Beauty,3,157.72,473.16,Gregoryfort,Tennessee
10006,C1785,2025-05-19,P202,Clothing,2,31.47,62.94,Seanport,North Carolina
10007,C3295,2024-07-15,P402,Sports,3,446.88,1340.64,South Elizabeth,Arkansas
10008,C1480,2025-05-06,P301,Home & Kitchen,4,318.63,1274.52,Garciaborough,Alabama
10009,C3063,2024-10-21,P400,Sports,4,215.31,861.24,Gallowaybury,South Dakota
10010,C1528,2024-07-10,P100,Electronics,5,144.33,721.65,Port Nicole,Virginia
10011,C3841,2025-05-30,P300,Home & Kitchen,5,39.79,198.95,Walterside,North Carolina
10012,C3180,2024-10-29,P202,Clothing,4,252.56,1010.24,New Christopherville,Oregon
10013,C3086,2025-02-09,P500,Beauty,2,224.5,449.0,East Erica,Nebraska
10014,C2112,2024-08-25,P402,Sports,4,206.42,825.68,New Barryview,Michigan
10015,C1892,2024-10-24,P200,Clothing,1,88.4,88.4,Lake Benjamin,Tennessee
10016,C3100,2025-04-27,P502,Beauty,1,440.79,440.79,Jefffurt,Georgia
10017,C1902,2024-12-28,P402,Sports,5,136.83,684.15,Meganburgh,California
10018,C1700,2024-09-14,P302,Home & Kitchen,3,280.55,841.65,New Roy,North Carolina
10019,C1160,2025-06-13,P200,Clothing,5,126.73,633.65,North Pam,Connecticut
10020,C1211,2024-08-05,P201,Clothing,2,142.51,285.02,Smithville,Nevada
10021,C3656,2024-08-04,P200,Clothing,5,66.93,334.65,Holmesburgh,Indiana
10022,C2329,2025-07-05,P302,Home & Kitchen,5,486.39,2431.95,West Jasonmouth,Kansas
10023,C1547,2025-02-01,P102,Electronics,5,139.38,696.9,Richardbury,Connecticut
10024,C1234,2025-05-21,P402,Sports,3,169.07,507.21,Matthewton,New Jersey
10025,C2145,2025-05-06,P101,Electronics,2,367.93,735.86,North Michael,Louisiana
10026,C3389,2024-08-11,P201,Clothing,1,273.32,273.32,Aprilstad,Kansas
10027,C2054,2024-10-29,P102,Electronics,4,473.37,1893.48,Port Cory,Georgia
10028,C1903,2024-12-21,P502,Beauty,2,410.26,820.52,Port Jacob,Oklahoma
10029,C2619,2025-03-09,P301,Home & Kitchen,2,295.02,590.04,New Debraville,Arkansas
10030,C2777,2024-10-22,P201,Clothing,2,367.61,735.22,Dustinshire,South Dakota
10031,C1743,2024-12-24,P300,Home & Kitchen,4,55.91,223.64,East Williamburgh,Nevada
10032,C3009,2025-04-01,P400,Sports,2,102.54,205.08,South Kellimouth,Illinois
10033,C1667,2025-07-02,P202,Clothing,3,20.31,60.93,North Michaelport,Utah
10034,C1587,2025-01-08,P201,Clothing,5,102.05,510.25,Hollystad,Oklahoma
10035,C3642,2025-07-04,P101,Electronics,2,232.96,465.92,West Nicole,Nevada
