pos_transaction_id,customer_id,transaction_date,store_id,product_id,quantity,price_per_unit,total_amount,city,state
20000,C2948,27-01-2025,S104,P400,5,279.86,1399.3,Jamesville,New Jersey
20001,C1046,19-01-2025,S114,P402,5,168.17,840.85,Emilybury,Florida
20002,C3081,13-06-2025,S120,P202,3,423.31,1269.93,North Steven,Alaska
20003,C3547,26-03-2025,S118,P302,1,23.24,23.24,New Angela,Illinois
20004,C3867,14-07-2024,S118,P501,4,450.7,1802.8,Hayesburgh,Oklahoma
20005,C2282,31-08-2024,S100,P202,3,325.99,977.97,East Christopherbury,New Mexico
20006,C2271,01-11-2024,S116,P300,3,312.01,936.03,Lake Cynthiaview,Utah
20007,C3487,03-06-2025,S115,P402,2,178.92,357.84,Lisamouth,Georgia
20008,C2317,25-04-2025,S107,P301,2,419.81,839.62,New Nathanstad,Illinois
20009,C1410,19-04-2025,S101,P401,5,287.01,1435.05,Christinamouth,Virginia
20010,C2821,30-08-2024,S114,P401,5,306.55,1532.75,Gonzalezburgh,South Dakota
20011,C2758,08-01-2025,S109,P200,2,79.28,158.56,Port Brianna,Georgia
20012,C2326,10-07-2024,S107,P402,1,380.54,380.54,Maryberg,Mississippi
20013,C1045,16-08-2024,S104,P200,1,82.4,82.4,Lake Jennifertown,Oklahoma
20014,C2950,03-11-2024,S113,P401,1,429.47,429.47,Cobbmouth,Indiana
20015,C1996,29-11-2024,S117,P501,4,349.96,1399.84,Port Brian,New York
20016,C1984,02-05-2025,S117,P101,1,133.55,133.55,Dorisville,Illinois
20017,C1479,27-01-2025,S113,P402,5,341.97,1709.85,Carolton,Maine
20018,C1153,04-02-2025,S115,P500,2,383.22,766.44,South Jasonland,Arizona
20019,C3506,20-11-2024,S119,P300,1,22.4,22.4,Davisland,New Hampshire
20020,C2418,27-03-2025,S118,P101,3,269.57,808.71,New Robertville,California
20021,C2058,03-04-2025,S108,P202,2,433.83,867.66,Douglasfurt,Arizona
20022,C1868,14-01-2025,S105,P301,4,175.97,703.88,West Cynthiachester,Iowa
20023,C3195,03-06-2025,S119,P200,3,374.1,1122.3,Port Nicoleshire,Nevada
20024,C3342,13-09-2024,S118,P301,1,102.87,102.87,Mckenziehaven,Maryland
20025,C2646,13-06-2025,S118,P302,1,455.87,455.87,Melissaville,Indiana
20026,C1976,15-09-2024,S117,P500,2,469.5,939.0,South Emilybury,Wyoming
20027,C3405,27-01-2025,S101,P101,4,296.06,1184.24,Mcdonaldport,Arizona
20028,C3759,23-06-2025,S113,P400,3,371.62,1114.86,West Loriburgh,New Jersey
20029,C2766,21-01-2025,S106,P501,1,16.38,16.38,Elizabethville,Missouri
20030,C3125,03-11-2024,S115,P400,1,405.84,405.84,Spearsside,South Carolina
20031,C1261,07-08-2024,S114,P300,5,327.58,1637.9,Wileychester,Delaware
20032,C3462,24-08-2024,S107,P200,4,293.17,1172.68,South Stephenfort,Alabama
20033,C1542,28-12-2024,S117,P500,1,144.94,144.94,West Austin,West Virginia
20034,C3377,12-11-2024,S118,P402,5,305.22,1526.1,New Dianeton,Alabama
20035,C1960,27-11-2024,S100,P400,5,292.38,1461.9,Gomeztown,Michigan
20036,C1591,13-11-2024,S102,P202,3,37.64,112.92,West Josephton,Delaware
20037,C1213,12-09-2024,S117,P501,1,167.01,167.01,New Spencer,Vermont
20038,C1613,25-01-2025,S120,P202,1,289.77,289.77,East Bradleychester,Iowa
20039,C3237,25-08-2024,S111,P400,3,353.83,1061.49,Alvarezville,Delaware
20040,C3511,24-05-2025,S117,P502,4,169.71,678.84,Lake Allisontown,Ohio
20041,C1063,31-05-2025,S119,P102,3,143.45,430.35,New Bretthaven,Colorado
20042,C2260,15-03-2025,S114,P202,4,183.07,732.28,Brittanychester,Virginia
20043,C3627,26-09-2024,S101,P102,2,453.19,906.38,North Jessica,Michigan
20044,C3168,26-04-2025,S115,P301,5,234.11,1170.55,North Paul,Wyoming
20045,C1921,08-12-2024,S100,P101,4,196.48,785.92,Port Daniel,West Virginia
20046,C3393,04-05-2025,S120,P101,4,498.33,1993.32,South Tamara,Montana
20047,C2477,01-06-2025,S100,P301,4,437.09,1748.36,Virginiachester,Wyoming
