Transaction_id,Customer_ID,Product_id,Store_Location,Purchase_Date,Product_Type,Unit_Price,Quantity,Total_Price,Payment_Method,Channel,Order_Status,Loyalty_Member,Age,Gender,City
T100023,C1125,P953,STORE_22,2024-03-20,Beauty,34.34,7,240.38,Credit Card,Physical,Cancelled,FALSE,53,Male,Changland
T100050,C1037,P593,STORE_26,2024-04-20,Clothing,259.96,3,779.88,Paypal,Physical,Completed,TRUE,53,Male,Rothville
T100077,C1483,P965,STORE_32,2023-10-17,Books,326.79,4,1307.16,Credit Card,Online,Completed,TRUE,41,Male,Campbellmouth
T100080,C1507,P1942,STORE_44,2024-08-09,Books,434.78,4,1739.12,Cash,Physical,Completed,FALSE,41,Female,South Heidi
T100117,C1433,P708,STORE_2,2024-05-21,Books,879.28,2,1758.56,Cash,Physical,Completed,FALSE,75,Male,New Larryland
T100147,C563,P283,STORE_32,2024-05-26,Clothing,308.4,4,1233.6,Credit Card,Online,Completed,TRUE,41,Female,East Christine
T100170,C679,P832,STORE_4,2024-01-30,Electronics,927.1,9,8343.9,Paypal,Physical,Completed,TRUE,25,Female,South Michaelside
T10030,C1583,P805,STORE_38,2024-06-24,Toys,207.78,9,1870.02,Debit Card,Physical,Completed,TRUE,25,Male,Markborough
T100312,C1752,P578,STORE_25,2023-10-03,Electronics,326.79,7,2287.53,Debit Card,Online,Cancelled,FALSE,24,Male,East Michael
T100340,C821,P944,STORE_6,2024-01-01,Toys,429.94,9,3869.46,Cash,Physical,Completed,FALSE,24,Male,Sharonburgh
T10035,C1159,P57,STORE_36,2024-06-25,Beauty,98.82,10,988.2,Paypal,Physical,Completed,FALSE,24,Male,New Eric
T100355,C372,P805,STORE_29,2023-11-07,Toys,207.78,9,1870.02,Credit Card,Physical,Cancelled,FALSE,35,Male,East Dylan
T100387,C1879,P114,STORE_42,2023-09-25,Books,70.81,4,283.24,Cash,Online,Completed,TRUE,66,Female,Lake Jasonmouth
T100435,C1001,P1922,STORE_29,2024-07-07,Home,748.94,10,7489.4,Credit Card,Physical,Completed,TRUE,72,Female,Estesside
T10045,C1395,P926,STORE_22,2024-03-18,Electronics,311.52,7,2180.64,Paypal,Physical,Cancelled,FALSE,42,Female,South Mark
T100494,C1583,P861,STORE_22,2024-01-02,Home,763.22,6,4579.32,Credit Card,Physical,Cancelled,TRUE,25,Male,Markborough
T100511,C850,P431,STORE_20,2024-05-18,Home,234.76,6,1408.56,Cash,Physical,Completed,TRUE,73,Female,Carlostown
T100518,C1703,P327,STORE_22,2024-09-02,Clothing,207.78,4,831.12,Paypal,Physical,Completed,TRUE,22,Male,West Kylemouth
T100561,C1219,P244,STORE_42,2024-07-07,Beauty,429.94,5,2149.7,Paypal,Online,Completed,FALSE,61,Male,Delgadoborough
T100568,C572,P715,STORE_49,2024-07-23,Clothing,207.78,6,1246.68,Paypal,Online,Completed,FALSE,34,Female,Arellanoberg
T100585,C868,P46,STORE_35,2024-03-14,Clothing,34.34,4,137.36,Cash,Online,Cancelled,FALSE,45,Male,Port Janice
T100615,C103,P886,STORE_25,2024-04-20,Electronics,725.45,4,2901.8,Cash,Online,Completed,TRUE,45,Male,New William
T100622,C210,P127,STORE_49,2024-07-21,Books,763.22,1,763.22,Paypal,Online,Cancelled,FALSE,45,Male,Boydview
T100659,C126,P179,STORE_20,2023-12-02,Books,697.35,4,2789.4,Debit Card,Physical,Cancelled,TRUE,65,Male,Patrickbury
T10066,C1847,P620,STORE_37,2024-03-20,Beauty,39.49,1,39.49,Cash,Physical,Completed,FALSE,71,Male,Port Matthew
T100779,C330,P953,STORE_50,2024-04-27,Beauty,34.34,8,274.72,Paypal,Physical,Cancelled,TRUE,76,Female,Jasonton
T100802,C1406,P552,STORE_5,2024-07-10,Beauty,452.15,2,904.3,Cash,Physical,Completed,FALSE,49,Male,North Brianna
T100869,C1974,P215,STORE_44,2024-01-29,Beauty,879.28,6,5275.68,Debit Card,Physical,Completed,FALSE,77,Male,West Amanda
T100939,C1793,P1988,STORE_22,2024-08-28,Books,429.33,4,1717.32,Cash,Physical,Completed,TRUE,77,Male,Jeffreyborough
T100953,C392,P57,STORE_32,2023-11-28,Beauty,98.82,6,592.92,Paypal,Online,Completed,TRUE,22,Male,Salazarborough
T100983,C187,P714,STORE_48,2023-11-30,Home,759.65,8,6077.2,Debit Card,Physical,Completed,FALSE,79,Female,Alanberg
T101027,C1593,P832,STORE_32,2024-02-27,Electronics,927.1,5,4635.5,Debit Card,Online,Completed,TRUE,69,Male,South Kayla
T101058,C669,P578,STORE_50,2024-01-21,Electronics,326.79,7,2287.53,Debit Card,Physical,Completed,FALSE,20,Female,Lake David
T101059,C156,P472,STORE_22,2024-09-03,Beauty,113.77,5,568.85,Debit Card,Physical,Completed,TRUE,20,Female,Suttonshire
T101183,C1768,P769,STORE_24,2023-11-30,Beauty,429.94,4,1719.76,Debit Card,Physical,Completed,TRUE,54,Male,Brianstad
T101204,C1649,P431,STORE_34,2024-01-12,Home,234.76,4,939.04,Debit Card,Online,Completed,TRUE,54,Male,South Gary
T10121,C26,P180,STORE_22,2023-09-24,Beauty,452.15,9,4069.35,Cash,Physical,Completed,TRUE,52,Female,Port Christinaberg
T101224,C480,P545,STORE_22,2024-03-25,Clothing,452.15,3,1356.45,Credit Card,Physical,Completed,FALSE,32,Female,East Heidishire
T101261,C1037,P248,STORE_9,2023-10-12,Electronics,429.94,5,2149.7,Paypal,Online,Cancelled,TRUE,53,Male,Rothville
T101263,C1151,P248,STORE_32,2024-01-28,Electronics,429.94,1,429.94,Credit Card,Online,Cancelled,TRUE,60,Male,New Mitchell
T101303,C1849,P978,STORE_39,2024-07-08,Electronics,879.28,5,4396.4,Cash,Online,Completed,FALSE,56,Male,Lake Jacobstad
T101306,C1881,P126,STORE_22,2024-07-29,Books,759.65,6,4557.9,Cash,Physical,Completed,TRUE,56,Female,West Jonathan
T101345,C526,P1922,STORE_48,2024-08-17,Home,748.94,7,5242.58,Credit Card,Physical,Completed,TRUE,56,Female,Marcusshire
T101399,C815,P970,STORE_24,2024-09-23,Books,113.76,7,796.32,Paypal,Physical,Completed,TRUE,56,Female,Lake Nathanchester
T101404,C1684,P851,STORE_41,2024-08-31,Electronics,644.04,7,4508.28,Debit Card,Physical,Completed,TRUE,53,Male,Katherinemouth
T101446,C559,P465,STORE_29,2023-10-16,Home,577.38,8,4619.04,Debit Card,Physical,Completed,TRUE,45,Female,West Amandaburgh
T101460,C470,P778,STORE_30,2024-06-26,Home,332.64,7,2328.48,Cash,Physical,Cancelled,TRUE,65,Female,Garciahaven
T101581,C1486,P639,STORE_47,2024-07-16,Clothing,429.94,7,3009.58,Paypal,Physical,Completed,TRUE,65,Female,New Thomas
