Transaction_id,Customer_ID,Age,Gender,Loyalty_Member,Product_Type,product_id,Order_Status,Payment_Method,Total_Price,Unit_Price,Quantity,Purchase_Date,Channel,City,Store_Location
T100023,C1125,53,Male,No,Beauty,P953,Cancelled,Credit Card,3919.37,559.91,7,20-03-2024,Online,Changland,STORE_12
T100050,C1037,53,Male,No,Clothing,P593,Completed,Paypal,779.88,259.96,3,20-04-2024,Physical,Rothville,STORE_16
T100077,C1483,41,Male,No,Books,P965,Completed,Credit Card,2234.16,558.54,4,17-10-2023,Online,Campbellmouth,STORE_32
T100080,C1507,41,Male,Yes,Electronics,P1942,Completed,Cash,1739.12,434.78,4,09-08-2024,Physical,South Heidi,STORE_44
T100117,C1433,75,Male,Yes,Books,P708,Completed,Cash,1925.56,962.78,2,21-05-2024,Online,New Larryland,STORE_1
T100147,C563,41,Female,No,Clothing,P283,Completed,Credit Card,1233.6,308.4,4,26-05-2024,Online,East Christine,STORE_32
T100170,C679,25,Female,No,Electronics,P832,Completed,Paypal,1833.21,203.69,9,30-01-2024,Physical,South Michaelside,STORE_4
T10030,C1583,25,Female,No,Toys,P805,Completed,Debit Card,8640.27,960.03,9,24-06-2024,Online,Markborough,STORE_38
T100312,C1752,24,Male,No,Electronics,P578,Cancelled,Debit Card,6653.15,950.45,7,03-10-2023,Online,East Michael,STORE_25
T100340,C821,24,Male,Yes,Toys,P944,Completed,Cash,5161.23,573.47,9,01-01-2024,Online,Sharonburgh,STORE_6
T10035,C1159,24,Male,Yes,Beauty,P57,Completed,Paypal,1396.3,139.63,10,25-06-2024,Physical,New Eric,STORE_36
T100355,C372,35,Male,No,Toys,P805,Cancelled,Credit Card,8640.27,960.03,9,07-11-2023,Physical,East Dylan,STORE_29
T100387,C1879,66,Female,No,Books,P114,Completed,Cash,2853.84,713.46,4,25-09-2023,Physical,Lake Jasonmouth,STORE_41
T100435,C1001,72,Male,No,Electronics,P1922,Completed,Credit Card,7489.4,748.94,10,07-07-2024,Physical,Estesside,STORE_29
T10045,C1395,42,Female,No,Electronics,P926,Cancelled,Paypal,2180.64,311.52,7,18-03-2024,Physical,South Mark,STORE_21
T100494,C1583,73,Female,No,Home,P861,Cancelled,Credit Card,1834.86,305.81,6,02-01-2024,Online,Markborough,STORE_12
T100511,C850,73,Female,Yes,Home,P431,Completed,Cash,2784.24,464.04,6,18-05-2024,Physical,Carlostown,STORE_20
T100518,C1703,22,Male,No,Clothing,P327,Completed,Paypal,3596.2,899.05,4,02-09-2024,Physical,West Kylemouth,STORE_21
T100561,C1219,61,Male,Yes,Beauty,P244,Completed,Paypal,2891.75,578.35,5,07-07-2024,Physical,Delgadoborough,STORE_41
T100568,C572,34,Male,No,Clothing,P715,Completed,Paypal,3930.06,655.01,6,23-07-2024,Online,Arellanoberg,STORE_49
T100585,C868,45,Male,No,Clothing,P46,Cancelled,Cash,137.36,34.34,4,14-03-2024,Online,Port Janice,STORE_35
T100615,C103,45,Male,No,Electronics,P886,Completed,Cash,2901.8,725.45,4,20-04-2024,Physical,New William,STORE_15
T100622,C210,45,Male,Yes,Books,P127,Cancelled,Paypal,116.97,116.97,1,21-07-2024,Online,Boydview,STORE_49
T100659,C126,57,Female,No,Books,P179,Cancelled,Debit Card,2789.4,697.35,4,02-12-2023,Physical,Patrickbury,STORE_20
T10066,C1847,71,Female,Yes,Beauty,P620,Completed,Cash,292.34,292.34,1,20-03-2024,Physical,Port Matthew,STORE_37
T100779,C330,76,Female,No,Beauty,P953,Cancelled,Paypal,4479.28,559.91,8,27-04-2024,Physical,Jasonton,STORE_50
T100802,C1406,49,Female,No,Beauty,P552,Completed,Cash,1191.68,595.84,2,10-07-2024,Physical,North Brianna,STORE_5
T100869,C1974,77,Male,No,Beauty,P215,Completed,Debit Card,5275.68,879.28,6,29-01-2024,Physical,West Amanda,STORE_44
T100939,C1793,77,Male,No,Books,P1988,Completed,Cash,1717.32,429.33,4,28-08-2024,Physical,Jeffreyborough,STORE_11
T100953,C392,22,Male,No,Beauty,P57,Completed,Paypal,837.78,139.63,6,28-11-2023,Online,Salazarborough,STORE_31
T100983,C187,79,Female,No,Electronics,P714,Completed,Debit Card,6836.48,854.56,8,30-11-2023,Physical,Alanberg,STORE_48
T101027,C1593,69,Male,No,Electronics,P832,Completed,Debit Card,1018.45,203.69,5,27-02-2024,Online,South Kayla,STORE_32
T101058,C669,20,Female,No,Electronics,P578,Completed,Debit Card,6653.15,950.45,7,21-01-2024,Physical,Lake David,STORE_50
T101059,C156,20,Female,No,Home,P472,Completed,Debit Card,4440.75,888.15,5,03-09-2024,Physical,Suttonshire,STORE_11
T101183,C1768,54,Female,No,Beauty,P769,Completed,Debit Card,1099.72,274.93,4,30-11-2023,Physical,Brianstad,STORE_14
T101204,C1649,54,Female,No,Home,P431,Completed,Debit Card,1856.16,464.04,4,12-01-2024,Online,South Gary,STORE_34
T10121,C26,32,Female,No,Beauty,P180,Completed,Cash,6029.28,669.92,9,24-09-2023,Physical,Port Christinaberg,STORE_11
T101224,C480,32,Female,Yes,Clothing,P545,Completed,Credit Card,1620.54,540.18,3,25-03-2024,Online,East Heidishire,STORE_22
T101261,C1037,60,Male,Yes,Electronics,P248,Cancelled,Paypal,2521.55,504.31,5,12-10-2023,Online,Rothville,STORE_9
T101263,C1151,60,Male,Yes,Electronics,P248,Cancelled,Credit Card,504.31,504.31,1,28-01-2024,Online,New Mitchell,STORE_32
T101303,C1849,56,Female,No,Toys,P978,Completed,Cash,4421.25,884.25,5,08-07-2024,Online,Lake Jacobstad,STORE_39
T101306,C1881,56,Female,Yes,Books,P126,Completed,Cash,1778.22,296.37,6,29-07-2024,Physical,West Jonathan,STORE_21
T101345,C526,56,Female,No,Electronics,P1922,Completed,Credit Card,5242.58,748.94,7,17-08-2024,store_type,Marcusshire,store_id
T101399,C815,56,Female,No,Books,P970,Completed,Paypal,796.32,113.76,7,23-09-2024,Physical,Lake Nathanchester,STORE_24
T101404,C1684,53,Female,No,Electronics,P851,Completed,Debit Card,4508.28,644.04,7,31-08-2024,Physical,Katherinemouth,STORE_41
T101446,C559,45,Female,Yes,Clothing,P465,Completed,Debit Card,92.32,11.54,8,16-10-2023,Physical,West Amandaburgh,STORE_29
T101460,C470,65,Female,No,Home,P778,Cancelled,Cash,2328.48,332.64,7,26-06-2024,Physical,Garciahaven,STORE_30
T101581,C1486,65,Female,No,Toys,P639,Completed,Paypal,588.07,84.01,7,16-07-2024,Physical,New Thomas,STORE_47
T101623,C1983,76,Male,No,Books,P211,Completed,Credit Card,9488.6,948.86,10,05-03-2024,Physical,East William,STORE_18
T101683,C922,73,Male,No,Toys,P978,Completed,Cash,8842.5,884.25,10,11-12-2023,Online,North Frankberg,STORE_8
T101687,C618,67,Female,No,Electronics,P255,Cancelled,Credit Card,4521.5,452.15,10,28-10-2023,Online,West Nancy,STORE_49
T101697,C1568,50,Female,No,Clothing,P327,Completed,Paypal,6293.35,899.05,7,25-06-2024,Online,Garciachester,STORE_17
T101719,C36,72,Male,No,Toys,P805,Cancelled,Credit Card,5760.18,960.03,6,03-08-2024,Online,South Angelaton,STORE_23
T101743,C1410,79,Female,No,Books,P129,Completed,Cash,1896.48,210.72,9,20-12-2023,Physical,Spencermouth,STORE_15
T10175,C1925,30,Female,Yes,Books,P916,Completed,Paypal,790.08,263.36,3,08-05-2024,Physical,South Joseberg,STORE_16
T101783,C1481,24,Female,No,Clothing,P441,Completed,Paypal,3867.84,966.96,4,27-04-2024,Physical,East Sean,STORE_4
T101790,C1224,71,Female,No,Books,P179,Cancelled,Paypal,6276.15,697.35,9,22-10-2023,Physical,Larsonborough,STORE_27
T101792,C1641,71,Female,No,Beauty,P250,Cancelled,Debit Card,3187.8,531.3,6,28-03-2024,Physical,Stevenschester,STORE_14
T101806,C1989,21,Female,No,Toys,P349,Completed,Paypal,5792.24,724.03,8,12-06-2024,Online,Lake Gregory,STORE_35
T101823,C713,21,Female,No,Home,P778,Cancelled,Credit Card,1663.2,332.64,5,08-07-2024,Online,Jacksonmouth,STORE_1
T101863,C540,37,Male,No,Clothing,P441,Completed,Paypal,6768.72,966.96,7,22-02-2024,Online,Robinsonstad,STORE_42
T10187,C1644,37,Male,No,Books,P707,Completed,Debit Card,633.7,633.7,1,27-06-2024,Physical,Caitlinstad,STORE_44
T101893,C580,72,Male,Yes,Home,P861,Completed,Credit Card,1223.24,305.81,4,28-09-2023,Physical,Michellefurt,STORE_29
T101909,C1583,72,Male,Yes,Toys,P934,Completed,Paypal,5583.54,930.59,6,07-12-2023,Physical,Markborough,STORE_3
T101935,C1118,72,Male,No,Home,P644,Completed,Paypal,1983.02,991.51,2,29-01-2024,Physical,North Linda,STORE_28
T101936,C1073,56,Male,Yes,Toys,P433,Completed,Cash,6077.2,759.65,8,25-10-2023,Physical,Lake Adamberg,STORE_28
T101986,C1820,56,Male,No,Toys,P28,Completed,Paypal,202.12,202.12,1,21-05-2024,Online,South Tylertown,STORE_43
T102036,C47,62,Male,No,Books,P127,Completed,Debit Card,935.76,116.97,8,23-03-2024,store_type,New Anthony,store_id
T102066,C1006,64,Male,Yes,Electronics,P4107,Completed,Paypal,851.84,212.96,4,25-04-2024,Online,Garciaville,STORE_8
T102072,C1733,64,Male,No,Electronics,P642,Cancelled,Credit Card,2427.9,809.3,3,08-07-2024,Online,West Briannachester,STORE_31
T102099,C1210,44,Female,No,Books,P561,Cancelled,Paypal,1907.16,635.72,3,28-02-2024,Physical,Port Vincent,STORE_46
T102104,C931,44,Female,No,Books,P982,Completed,Credit Card,1521.51,507.17,3,13-07-2024,Online,West Timothyton,STORE_23
T102106,C1561,49,Male,No,Clothing,P702,Cancelled,Paypal,951.23,135.89,7,17-10-2023,Online,Lake Kathleenchester,STORE_34
T10212,C747,49,Male,No,Books,P432,Completed,Debit Card,496.98,248.49,2,30-12-2023,Physical,South Eric,STORE_44
T102121,C1397,27,Male,No,Books,P2,Completed,Cash,1454.46,207.78,7,21-05-2024,Online,New Williamville,STORE_6
T102126,C382,30,Male,No,Clothing,P283,Cancelled,Paypal,925.2,308.4,3,29-11-2023,Physical,Benjaminfort,STORE_16
T102133,C1007,54,Female,No,Clothing,P900,Completed,Debit Card,2646.36,294.04,9,17-06-2024,Online,New Patricia,STORE_35
T102145,C1945,46,Female,No,Beauty,P1875,Completed,Cash,4707.99,523.11,9,11-07-2024,Online,New David,STORE_42
T102193,C956,46,Female,Yes,Clothing,P896,Completed,Credit Card,7416.8,927.1,8,12-09-2024,Physical,Mauriceville,STORE_3
T102207,C1526,58,Male,No,Toys,P349,Completed,Cash,6516.27,724.03,9,06-11-2023,Physical,Kathyburgh,STORE_29
T102288,C1648,26,Male,No,Electronics,P742,Completed,Cash,614.07,204.69,3,26-12-2023,Physical,Paulamouth,STORE_41
T102302,C216,26,Male,No,Books,P31,Completed,Cash,158.28,26.38,6,14-05-2024,Physical,North Savannah,STORE_27
T102313,C1211,64,Male,No,Books,P599,Completed,Paypal,492.2,246.1,2,24-10-2023,Physical,Cameronbury,STORE_7
T102355,C1089,64,Male,Yes,Home,P431,Completed,Paypal,1856.16,464.04,4,12-09-2024,Online,South Michellefurt,STORE_8
T102372,C904,64,Male,No,Books,P725,Completed,Debit Card,990.6,330.2,3,15-09-2024,Physical,Lake Maryburgh,STORE_7
T102374,C1545,55,Female,No,Beauty,P922,Cancelled,Paypal,3989.52,997.38,4,03-01-2024,store_type,North Josephstad,store_id
T102376,C339,55,Female,No,Beauty,P425,Completed,Credit Card,127.93,127.93,1,18-08-2024,Online,West Chelsea,STORE_42
T102377,C1626,24,Male,No,Toys,P24,Completed,Credit Card,3781.8,945.45,4,29-07-2024,Online,Erichaven,STORE_1
T10239,C814,74,Male,No,Books,P640,Completed,Cash,997.09,997.09,1,11-10-2023,Physical,Schmidtbury,STORE_24
T102545,C261,74,Male,No,Home,P644,Completed,Cash,2974.53,991.51,3,02-05-2024,Online,Nicholasview,STORE_19
T102552,C14,76,Male,No,Toys,P6,Completed,Paypal,6336.88,792.11,8,01-07-2024,Online,Gilesville,STORE_40
T102566,C212,45,Male,No,Electronics,P851,Completed,Debit Card,3220.2,644.04,5,09-08-2024,Physical,Jenniferton,STORE_50
T102593,C460,31,Male,No,Beauty,P74,Cancelled,Debit Card,2481.06,827.02,3,04-05-2024,Online,Port Tonya,STORE_31
T102605,C319,22,Male,Yes,Home,P861,Cancelled,Credit Card,611.62,305.81,2,22-03-2024,Physical,West George,STORE_24
T102622,C1238,56,Female,No,Electronics,P427,Completed,Credit Card,3778.83,419.87,9,27-04-2024,Physical,Christopherview,STORE_46
T102643,C569,65,Male,No,Toys,P937,Completed,Debit Card,150.09,150.09,1,07-05-2024,Physical,New Lawrenceshire,STORE_20
T102681,C416,20,Female,Yes,Toys,P639,Completed,Paypal,168.02,84.01,2,13-12-2023,Physical,North Danielmouth,STORE_44
T102759,C1640,20,Female,No,Home,P644,Completed,Cash,9915.1,991.51,10,15-05-2024,Online,North Ashleyton,STORE_32
